run,execution_time,hiddensize,batchsize,learningrate,history,activation,nlayers,rmse_train,rmse_val,mae_train,mae_val
50,7192.644702911377,[16],128,0.05,0,<class 'torch.nn.modules.activation.ReLU'>,1,1.8618576526641846,2.4217867851257324,1.3424866199493408,1.7638797760009766
50,7541.211607456207,[16],128,0.001,1,<class 'torch.nn.modules.activation.ReLU'>,1,1.9749218225479126,2.4703891277313232,1.4401426315307617,1.8345340490341187
50,7616.940524816513,[64],64,0.01,0,<class 'torch.nn.modules.activation.ReLU'>,1,1.7385404109954834,2.457482099533081,1.2480610609054565,1.8081556558609009
50,9349.993739128113,[256],16,0.005,1,<class 'torch.nn.modules.activation.ReLU'>,1,1.7497365474700928,2.2307164669036865,1.2425495386123657,1.6318607330322266
50,9367.301607608795,[64],256,0.001,0,<class 'torch.nn.modules.activation.ReLU'>,1,1.7670395374298096,2.316305160522461,1.2505919933319092,1.6893819570541382
50,10136.96410560608,[64],256,0.05,1,<class 'torch.nn.modules.activation.ReLU'>,1,1.660223364830017,2.4033961296081543,1.1880970001220703,1.7721307277679443
50,11309.50869178772,"[16, 64]",128,0.001,1,<class 'torch.nn.modules.activation.ReLU'>,2,1.7167383432388306,2.352010726928711,1.2108967304229736,1.7043755054473877
50,11311.741688013077,[512],16,0.005,2,<class 'torch.nn.modules.activation.ReLU'>,1,1.7596734762191772,2.4806981086730957,1.2520592212677002,1.7789809703826904
50,11328.005198478699,[256],128,0.0001,0,<class 'torch.nn.modules.activation.ReLU'>,1,1.9942935705184937,2.4679770469665527,1.4574124813079834,1.8450355529785156
50,11593.958586215973,"[256, 16]",16,0.05,0,<class 'torch.nn.modules.activation.ReLU'>,2,1.9788792133331299,2.6017396450042725,1.4305449724197388,1.892738699913025
50,11772.920900583267,"[64, 128]",64,0.005,0,<class 'torch.nn.modules.activation.ReLU'>,2,1.506618857383728,2.465507745742798,1.031934380531311,1.7238013744354248
50,12099.583214521408,[512],64,0.01,1,<class 'torch.nn.modules.activation.ReLU'>,1,1.602346658706665,2.4437077045440674,1.1255857944488525,1.7501643896102905
50,12130.34694814682,"[128, 64]",128,0.01,0,<class 'torch.nn.modules.activation.ReLU'>,2,1.3575865030288696,2.4271721839904785,0.9198150634765625,1.7155300378799438
50,12425.245530128479,[512],64,0.0001,2,<class 'torch.nn.modules.activation.ReLU'>,1,1.9451944828033447,2.419447422027588,1.4156430959701538,1.801213264465332
50,12514.563909292221,"[16, 16, 16]",256,0.001,2,<class 'torch.nn.modules.activation.ReLU'>,3,1.6984046697616577,2.3462774753570557,1.1916320323944092,1.7002570629119873
50,12558.917591571808,"[64, 256]",16,0.0001,1,<class 'torch.nn.modules.activation.ReLU'>,2,1.898969054222107,2.3248815536499023,1.3666894435882568,1.7203757762908936
50,12759.918799161911,"[64, 16]",512,0.001,0,<class 'torch.nn.modules.activation.ReLU'>,2,1.6050159931182861,2.389284372329712,1.1205031871795654,1.7504972219467163
50,12889.516953229904,[512],256,0.05,2,<class 'torch.nn.modules.activation.ReLU'>,1,1.598926067352295,2.458386182785034,1.1268048286437988,1.793816328048706
50,13058.819386482239,[512],256,0.0001,0,<class 'torch.nn.modules.activation.ReLU'>,1,1.8836944103240967,2.360818386077881,1.3601986169815063,1.744383454322815
50,13114.452966451645,"[16, 256]",64,0.001,1,<class 'torch.nn.modules.activation.ReLU'>,2,1.671081304550171,2.328809976577759,1.1772326231002808,1.6971194744110107
50,13183.362645864487,"[128, 16]",256,0.001,2,<class 'torch.nn.modules.activation.ReLU'>,2,1.578498125076294,2.41204571723938,1.0934007167816162,1.7573587894439697
50,13375.244135379791,"[64, 16, 64]",128,0.05,2,<class 'torch.nn.modules.activation.ReLU'>,3,1.4916929006576538,2.491673231124878,1.043505311012268,1.7853367328643799
50,13607.504070281982,"[512, 16]",16,0.01,0,<class 'torch.nn.modules.activation.ReLU'>,2,1.7894642353057861,2.4907214641571045,1.2591543197631836,1.8039577007293701
50,13661.655801534653,"[64, 128]",256,0.05,1,<class 'torch.nn.modules.activation.ReLU'>,2,1.2429959774017334,2.631981372833252,0.8524376153945923,1.8613569736480713
50,13680.50324010849,"[256, 16]",256,0.001,0,<class 'torch.nn.modules.activation.ReLU'>,2,1.5178816318511963,2.3368632793426514,1.0404456853866577,1.666339635848999
50,13807.72774553299,[512],512,0.01,1,<class 'torch.nn.modules.activation.ReLU'>,1,1.337921380996704,2.5370514392852783,0.9431743621826172,1.836830735206604
50,13887.744267940521,[512],512,0.05,1,<class 'torch.nn.modules.activation.ReLU'>,1,1.4086635112762451,2.502392292022705,0.9994856715202332,1.8289076089859009
50,13945.475530862808,"[64, 16, 64]",256,0.05,1,<class 'torch.nn.modules.activation.ReLU'>,3,1.448840856552124,2.619068145751953,0.9899011850357056,1.839233636856079
50,14255.429839134216,"[128, 256]",128,0.0001,0,<class 'torch.nn.modules.activation.ReLU'>,2,1.7400321960449219,2.2896885871887207,1.2277108430862427,1.685150384902954
50,14285.809422254562,"[16, 64, 64]",512,0.0001,0,<class 'torch.nn.modules.activation.ReLU'>,3,1.8040988445281982,2.2951207160949707,1.2964487075805664,1.6812212467193604
50,14398.127506256104,"[256, 64, 256]",128,0.0001,1,<class 'torch.nn.modules.activation.ReLU'>,3,1.6293203830718994,2.315988063812256,1.1278483867645264,1.6557776927947998
50,14599.734828472137,"[256, 128, 16]",64,0.005,0,<class 'torch.nn.modules.activation.ReLU'>,3,1.4149054288864136,2.37522554397583,0.9517871737480164,1.6628649234771729
50,14697.829398870468,"[16, 128, 256]",16,0.05,0,<class 'torch.nn.modules.activation.ReLU'>,3,2.025973320007324,2.614689826965332,1.513433814048767,1.9816720485687256
50,14783.013686656952,"[64, 16, 256]",128,0.005,2,<class 'torch.nn.modules.activation.ReLU'>,3,1.2328766584396362,2.4885170459747314,0.835715115070343,1.7504174709320068
50,14819.600270271301,"[64, 256, 64]",64,0.01,1,<class 'torch.nn.modules.activation.ReLU'>,3,1.3020906448364258,2.4189486503601074,0.8696590662002563,1.6936489343643188
50,14919.454865694046,"[64, 128, 256]",16,0.001,2,<class 'torch.nn.modules.activation.ReLU'>,3,1.554774284362793,2.4022579193115234,1.0571739673614502,1.7075631618499756
50,14981.343894481659,"[16, 16, 512]",128,0.01,0,<class 'torch.nn.modules.activation.ReLU'>,3,1.5571163892745972,2.437915325164795,1.085566759109497,1.7479541301727295
50,15044.715612411499,"[256, 256]",64,0.005,1,<class 'torch.nn.modules.activation.ReLU'>,2,1.2476470470428467,2.5252673625946045,0.8383941650390625,1.7735220193862915
50,15087.011899232864,[64],512,0.05,1,<class 'torch.nn.modules.activation.ReLU'>,1,1.5962138175964355,2.4669909477233887,1.135398268699646,1.8132606744766235
